group,learner_seed,timestep,policy_hash,log_std_bid,log_std_ask,action_std_bid,action_std_ask,n_eval_seeds,det_mean_objective,det_std_objective,det_se_objective,det_mean_raw_pnl,det_loss_rate,det_mean_quoted_spread,det_median_quoted_spread,det_mean_fills,det_mean_abs_inventory,det_mean_signed_inventory,det_terminal_abs_inventory,det_terminal_signed_inventory,det_running_penalty,det_terminal_penalty,det_frac_near_bound,stoch_mean_objective,stoch_std_objective,stoch_se_objective,stoch_mean_raw_pnl,stoch_loss_rate,stoch_mean_quoted_spread,stoch_median_quoted_spread,stoch_mean_fills,stoch_mean_abs_inventory,stoch_mean_signed_inventory,stoch_terminal_abs_inventory,stoch_terminal_signed_inventory,stoch_running_penalty,stoch_terminal_penalty,stoch_frac_near_bound
A,2,160000,2ff94464fb6742e9ab02c355c331f59a2b21c8e86994315eeca9baf85e663b22,-0.0902367085218429,-0.1015794947743415,0.9137148261070251,0.9034093022346495,50,29.255645956091325,137.29500066402906,19.416445198509297,31.986400650200952,0.38,2.1642542510199774,2.161964273089232,40.66,12.620089518276888,-12.612620263398206,21.06,-21.06,2.23669469410963,0.49406,0.0,9.551240902325691,168.43199561674848,23.81988125387714,13.736589547842437,0.46,2.4371559185931773,2.43657355185805,86.42,15.914799594880574,-15.887188072226786,25.74,-25.74,3.459448645516746,0.7259,0.5457050783035842
A,2,176000,98ec17d588cf809bef696bd11e5eb6d87a83151f04b07b7accbd0fd580bd97b1,-0.0924877971410751,-0.1061799973249435,0.9116603136062622,0.8992627859115601,50,29.19691022670169,104.13653626957148,14.727130193098567,30.968464262076683,0.36,2.2543899759878183,2.2501288545216576,35.56,9.72057893323354,-9.707493239998694,16.88,-16.88,1.4348740353749958,0.3366800000000001,0.0,6.531461094941096,150.1582299866817,21.23558053491036,9.990380921291123,0.54,2.5003886081687665,2.4988378943441725,84.42,14.039287334896503,-13.915415465247534,22.86,-22.86,2.8527398263500303,0.60618,0.5423202815423196
A,2,192000,896929408c6619b1b624ae5a78826f27335362059fae0418d4c5c5920eb37823,-0.0958890542387962,-0.1077261269092559,0.9085648655891418,0.8978734016418457,50,23.172722346282224,102.23312386620036,14.457947029534909,24.92671398192208,0.34,2.135269905060304,2.1385921070454508,30.5,9.03089252299798,-9.000906555099128,17.14,-17.06,1.3901716356398517,0.36382,0.0,8.38383667438754,186.22785660297373,26.336596049959734,12.694281950938247,0.5,2.4006982270656207,2.3968531027108053,78.36,15.379106886991968,-15.272217978213783,27.28,-27.28,3.4816852765507007,0.8287599999999999,0.5565331070543917
A,2,200000,fef83d6729a71222270794bbc476cb3756935bd6137c46026c47ea92a08515b2,-0.099445454776287,-0.1119589433073997,0.9053393006324768,0.8940809965133667,50,28.178290951204303,81.99861474537126,11.596355306871049,29.3825480769272,0.32,2.316064072776478,2.3158249747628945,29.56,7.49803738448776,-7.416050498456217,13.84,-13.72,0.9576171257228951,0.24664,0.0,9.232690513820868,124.40583291885306,17.593641615216324,11.50697845106004,0.38,2.5496162752802665,2.548527950860984,77.04,11.016330815483272,-10.744120459010164,19.28,-19.24,1.8433279372391709,0.4309599999999999,0.5269536303771263
A,3,16000,df6a5ae5d52dc00e9adea0b5793d700ea32b146852e8d68034cca0620db615d6,-0.0138383405283093,-0.0032541481778025,0.9862569570541382,0.9967511296272278,50,30.48602935061536,31.127462254090556,4.402087928199145,30.64657421811645,0.12,3.014735692562511,3.0160368138168163,26.34,2.7732214847801653,0.1560017641007486,4.02,0.58,0.1349648675010943,0.02558,0.0,-2.5922084760977877,52.634464072876725,7.443637294010167,-2.226922216341602,0.44,3.042920100906224,3.0549738378476,80.6,4.188913542757662,-0.9817952996736592,5.56,-1.32,0.3116862597561854,0.0536,0.5646597854955742
A,3,32000,2e62664eb2a0f73896b3da33c42215a79ee3ad02da57a44da0807fc0cb011e04,-0.0376626513898372,0.0057897549122571,0.9630377292633056,1.005806565284729,50,32.219561267598394,29.375797602414984,4.154365137486232,32.40287317173671,0.08,2.822833190975835,2.8233059686168738,23.5,2.90750786263263,-1.2821330119971843,4.38,-2.26,0.1518919041383133,0.03142,0.0,7.360578786279144,68.33066107336911,9.663414761587791,7.940727491458818,0.36,2.926031663660336,2.9273183265112235,76.38,5.18419701084701,-4.031550970843499,7.98,-7.1,0.4880487051796739,0.0921,0.561292392832228
A,3,48000,60983c0ff550228603d4237b9420f3276f74b79f9f52bde2531d932b48f2d90d,-0.063830129802227,-0.0204725619405508,0.9381644129753112,0.979735553264618,50,33.086494872320294,28.96263013865044,4.09593443440752,33.26718480291357,0.08,2.785073458405174,2.788919255135593,22.34,2.859090422015365,-2.031627346659344,4.14,-2.98,0.1530299305932769,0.02766,0.0,9.685065890890996,53.05975684932319,7.503782775253158,10.095979960197596,0.38,2.897353731550156,2.88832823681697,71.54,4.568890636048727,-3.298892065353406,6.62,-5.42,0.3456540693065995,0.06526,0.5427099730351079
A,3,64000,2f1d87a3b43a640e89b864714730e6f45841cbbcf9233783baedcecb3c6a807b,-0.0682269856333732,-0.0384815707802772,0.9340484738349916,0.9622493982315063,50,32.57475083013374,42.52955039083691,6.014586696435152,32.95318871898923,0.2,2.5941249193062226,2.5943344248252598,23.8,4.214195593030444,-3.7771934411620847,6.6,-6.24,0.3129578888554989,0.06548,0.0,3.555134562545602,93.72029538689458,13.254051280575892,4.851709242231301,0.38,2.766731252412354,2.782815273266594,74.72,8.06477484411849,-7.731042303166438,12.68,-12.64,1.0800946796856994,0.21648,0.5508580851870465
A,3,80000,1abc4de0cc37630d2eabee4a39fbfb82befd4f998ed94452ba599cf14fae7ee7,-0.0642360523343086,-0.0364744737744331,0.9377835988998412,0.9641827344894408,50,32.4565445656843,34.8732461258951,4.931821763521585,32.70402322477073,0.14,2.7422856897514016,2.745697536176686,23.84,3.299541830478122,-2.5616809708265187,5.0,-3.96,0.2065986590864262,0.04088,0.0,4.469684013260534,66.47676595332274,9.401234399389102,5.070981004742392,0.48,2.859822106361252,2.8722072568059103,75.56,5.490574726387446,-4.70059686405715,7.96,-7.12,0.5142169914818593,0.08708,0.5444659925125133
A,3,96000,173df0d76d5abde0db2b1a973438ed33f79177ac7b2859ae4f42ffde8fe5e808,-0.0731997713446617,-0.0290555376559495,0.9294151663780212,0.97136253118515,50,26.51069717983952,41.64280884098884,5.889182503823664,26.853754059608963,0.24,2.535041886763039,2.538580700360694,20.0,4.231691514889815,-4.006709772310339,6.36,-6.08,0.2875368797694412,0.05552,0.0,5.17831421892935,87.17831157470097,12.328875057372947,6.421782066063664,0.46,2.7291413004760896,2.7178387069411256,66.54,8.361071117415777,-8.115556880774527,12.18,-11.94,1.0500078471343148,0.19346,0.5571355254778606
