evaluation_seed,full_objective,raw_pnl,fills,buy_side_fills,sell_side_fills,total_arrivals,buy_side_arrivals,sell_side_arrivals,fill_to_arrival_ratio,mean_quoted_spread,mean_bid_depth,mean_ask_depth,spread_revenue,spread_revenue_per_fill,adverse_selection_loss,carry_jump_pnl,diffusion_pnl,decomposition_residual,running_penalty,terminal_penalty,mean_abs_inventory,terminal_abs_inventory,mean_signed_inventory,terminal_signed_inventory,max_abs_inventory,mean_bid_action,mean_ask_action,action_std_bid,action_std_ask,near_bound_rate,episode_duration,n_decision_events,reward_reconciliation_error,path_seed
290026,70.69597055522173,70.78399951467938,70,36,34,288,143,145,0.24305555555555555,2.0790899086889243,1.0523371862467925,1.0267527224421318,67.70874371428697,0.9672677673469566,24.188806433330615,27.255198069265923,0.00886416445694016,1.5631940186722204e-13,0.08402895945764284,0.004,2.0795847750865053,2.0,0.8408304498269896,-2.0,6.0,-0.314463650367135,-0.33113043754636157,0.14330646731357108,0.14483669084749642,0.0,1.0,289,1.4210854715202004e-14,290026
290027,71.49254266544565,71.55440273666454,54,26,28,264,130,134,0.20454545454545456,2.2697674057774533,1.1538801217876642,1.115887283989789,60.53174411203695,1.1209582242969804,30.254542819214016,41.24238887498649,0.03481256885517147,-4.263256414560601e-14,0.05786007121888391,0.004,2.1547169811320757,2.0,1.6264150943396227,2.0,5.0,-0.2483143454946482,-0.2730644652058423,0.08429820074475941,0.08521267465901004,0.0,1.0,265,2.842170943040401e-14,290027
290028,25.23136617217951,25.272752057887544,56,26,30,299,137,162,0.18729096989966554,2.2166338222369717,1.115668648984142,1.1009651732528298,58.28281014381061,1.0407644668537608,24.81877592954863,-8.180143393528832,-0.011138762845778966,1.7408297026122455e-13,0.025385885708035003,0.016,1.4133333333333333,4.0,0.7933333333333333,4.0,4.0,-0.27320689317059604,-0.2827853507329574,0.10498135670090403,0.11020818556759576,0.0,1.0,300,3.552713678800501e-15,290028
290029,105.15201202621817,105.29297231857839,66,36,30,275,136,139,0.24,2.156701252928049,1.058506576051889,1.0981946768761601,65.7205622380766,0.995766094516312,21.49860821600818,61.104914090596644,-0.0338957940870722,3.979039320256561e-13,0.10496029236022314,0.036000000000000004,2.7318840579710146,6.0,-2.717391304347826,-6.0,7.0,-0.3104446524435398,-0.2845901676657391,0.12455277283736327,0.12701204295916949,0.0,1.0,276,2.842170943040401e-14,290029
290030,-0.17296987214723047,-0.017811545292488518,63,35,28,305,162,143,0.20655737704918034,2.168050809905681,1.0615747479988316,1.1064760619068494,62.91804141894475,0.9986990701419802,24.10654923706963,-38.88102393503728,0.05172020786950402,1.6009416015094757e-13,0.10615832685474194,0.049,2.872549019607843,7.0,-2.8529411764705883,-7.0,7.0,-0.30844591722440834,-0.2791953279337214,0.12206531509417297,0.12365739855641603,0.0,1.0,306,3.913536161803677e-15,290030
290031,-3.3844962129796694,-3.2693238275082876,67,36,31,307,171,136,0.2182410423452769,2.0118534525198193,0.9865666538600202,1.0252867986597989,59.30126743131241,0.8850935437509315,12.79779243195089,-49.760264564309104,-0.012534262560874927,1.687538997430238e-13,0.09017238547138179,0.025,2.5194805194805197,5.0,-2.4740259740259742,-5.0,7.0,-0.35730931929825654,-0.33208540146069876,0.15261303195964554,0.15301179137600202,0.0,1.0,308,1.9539925233402755e-14,290031
290032,57.74488269942969,57.8287908992325,41,19,22,270,133,137,0.15185185185185185,2.2102559425947925,1.126772537704232,1.0834834048905604,43.30249796566997,1.0561584869675602,14.681897260606794,29.195601667189127,0.012588526980137266,5.684341886080802e-14,0.07490819980280963,0.009000000000000001,2.5645756457564577,3.0,2.5645756457564577,3.0,5.0,-0.2659733567723927,-0.29417370403342447,0.11225522238752109,0.10845805540267545,0.0,1.0,271,7.105427357601002e-15,290032
290033,47.93979416151345,48.064317324970375,66,29,37,291,147,144,0.2268041237113402,2.0287608123831973,1.001254444837076,1.0275063675461211,59.67790448543548,0.9042106740217496,13.214212134209191,1.6196902938493223,-0.01906532010531704,8.526512829121202e-14,0.06052316345692674,0.064,2.1027397260273974,8.0,-0.7191780821917808,8.0,8.0,-0.3477410794392315,-0.33063948168139773,0.14879557039261987,0.15339632211520574,0.0,1.0,292,1.4210854715202004e-14,290033
290034,-3.3955202320016955,-3.128316661398003,56,32,24,274,151,123,0.20437956204379562,2.0565975357610733,1.0183099352181813,1.0382876005428918,54.55807201058671,0.9742512859033342,11.99648590872646,-45.73036102426119,0.04045826100327402,-3.419486915845482e-13,0.20320357060369276,0.064,3.6945454545454544,8.0,-2.3927272727272726,-8.0,10.0,-0.33663042140122906,-0.3236161366834811,0.14053213766738637,0.15371850418397595,0.0,1.0,275,1.3322676295501878e-15,290034
290035,43.05806932395444,43.12109140574297,56,28,28,280,141,139,0.2,2.252951187514689,1.1079503962547261,1.1450007912599631,62.36756857229202,1.1137065816480718,24.7838237541826,5.523112399233538,0.014234188400378007,-3.694822225952521e-13,0.06302208178853003,0.0,2.1281138790035588,0.0,-1.8576512455516014,0.0,6.0,-0.2782348850260765,-0.25409871187141136,0.09322384319421946,0.09449486894988281,0.0,1.0,281,7.105427357601002e-15,290035
