source,policy,learner_seed,checkpoint_transition,n_paths,mean_bid_action,mean_ask_action,action_std_bid,action_std_ask,near_bound_rate_deterministic,stochastic_action_std_bid,stochastic_action_std_ask,near_bound_rate_stochastic,stochastic_full_objective
validation,hamilton_ppo,3.0,300000.0,50,-0.0538865916676584,-0.0643647655200746,0.050439248739392,0.045861781132976,0.0,0.1872831081546057,0.1917154380275889,0.0,33.942646549433746
validation,hamilton_ppo,3.0,400000.0,50,-0.0730993270648671,-0.1455287913916425,0.0544981094053735,0.0098699129391342,0.0,0.1821618354011855,0.1871812695520062,7.2463768115942e-05,29.10091284172892
validation,hamilton_ppo,3.0,500000.0,50,0.0495866820434984,-0.1661751355761206,0.0507824168438134,0.0326173519975026,0.0,0.1697218153506094,0.1809321571765495,0.0,29.55346008005046
validation,hamilton_ppo,3.0,600000.0,50,0.0752700065949327,-0.1654435313055758,0.0340043165560736,0.0516158809876879,0.0,0.1491987990344158,0.1703866675233626,0.0,23.24661722097809
validation,hamilton_ppo,3.0,700000.0,50,0.0574533887404444,-0.1997616687867086,0.0122429908989826,0.0382667761717936,0.0,0.1451456104356619,0.1627897763460955,0.0,29.2680605324285
validation,hamilton_ppo,3.0,800000.0,50,-0.0188237985533282,-0.1604782276290974,0.0459226282031922,0.0045209400488461,0.0,0.1474571244159747,0.1484075173038757,0.0,33.324167904941895
validation,hamilton_ppo,3.0,900000.0,50,-0.0693141259558899,-0.104727947589022,0.0389062153098519,0.0328352286128687,0.0,0.1419101603508082,0.1483434270342669,0.0,37.06570562039934
validation,hamilton_ppo,3.0,1000000.0,50,-0.1001844182311399,-0.1045758751259136,0.0535297836939602,0.0460445012401124,0.0,0.1400969313269052,0.1431434918857413,0.0,28.8692385177822
validation,hamilton_ppo,4.0,16000.0,50,-0.0126721039920754,0.0018803408089414,0.0132984651612671,0.0137268601978361,0.0,0.2231565741604304,0.2264158976693261,6.920415224913399e-05,28.77166241576569
validation,hamilton_ppo,4.0,32000.0,50,-0.0158641902049878,0.009512872234893,0.0183157515210157,0.0066416122106274,0.0,0.2173408504157045,0.2249052997926564,0.0,41.981423136673214
validation,hamilton_ppo,4.0,48000.0,50,-0.0621075462970158,-0.012015877469773,0.0238358454802639,0.0160373650899862,0.0,0.2112922284551039,0.2255500494201268,0.0001471861471861,34.74043863282506
validation,hamilton_ppo,4.0,64000.0,50,-0.0418194129028392,-0.0188318829556708,0.031774821630143,0.0120598996952686,0.0,0.2089362801340432,0.2216300453943139,0.0,30.764257220423268
validation,hamilton_ppo,4.0,80000.0,50,-0.0578441984355963,-0.0198144205808344,0.0273930010954727,0.0075613267288893,0.0,0.206055952512326,0.2254599230083136,0.0,33.02252468376088
validation,hamilton_ppo,4.0,96000.0,50,-0.0743210643952257,-0.0087244109893285,0.0342484408667037,0.0050863575886085,0.0,0.2045214104393796,0.2230996491656879,0.0,32.231320585997224
validation,hamilton_ppo,4.0,112000.0,50,-0.0450945697682195,-0.0410008251277947,0.0492465776891829,0.0201457732643494,0.0,0.2026068136961241,0.2223733277829548,0.0,36.62052253407296
validation,hamilton_ppo,4.0,128000.0,50,-0.0304671530250123,-0.0543812322815388,0.0459752947899756,0.0230659426301781,0.0,0.2037813923500763,0.2238507173495438,0.0,33.96148698144189
validation,hamilton_ppo,4.0,144000.0,50,-0.0519216818879295,-0.0686319303266549,0.0418517960224268,0.0374675916275219,0.0,0.196222347221019,0.222452150822376,0.0001433691756272,33.83246917228105
validation,hamilton_ppo,4.0,160000.0,50,-0.0626006214587775,-0.0629310355983413,0.037992718292863,0.035221482250887,0.0,0.1884747512090567,0.2195571838601917,0.0,28.60089706425604
validation,hamilton_ppo,4.0,176000.0,50,-0.0652714935886609,-0.0743379800222247,0.0409823243215796,0.041924960149277,0.0,0.190863421716912,0.2167832013415322,0.0,26.35228248684738
validation,hamilton_ppo,4.0,192000.0,50,-0.0569519402198129,-0.0666372420189792,0.0609098671415995,0.0283050030861779,0.0,0.193465491732169,0.2121434797826158,0.0,31.67946342534632
validation,hamilton_ppo,4.0,200000.0,50,-0.0826482160868793,-0.0715996131027981,0.053061205985444,0.0292028868116085,0.0,0.1912611405134709,0.2092364370451744,0.0,29.878341526505093
validation,hamilton_ppo,4.0,300000.0,50,-0.0467412382022785,-0.0804617596064101,0.0497011659530618,0.0301013008705582,0.0,0.184036305366056,0.1903921270918727,0.0,35.506806842152486
validation,hamilton_ppo,4.0,400000.0,50,-0.0810531736420838,-0.1423082121741977,0.0531420800691263,0.022476906589558,0.0,0.1808375835861523,0.1873186520393234,7.2463768115942e-05,28.217338685517184
validation,hamilton_ppo,4.0,500000.0,50,-0.0015707417094467,-0.1732942653888053,0.0509885535124962,0.0311953764383797,0.0,0.1694776452892713,0.1809386690196338,0.0,29.5431275834526
validation,hamilton_ppo,4.0,600000.0,50,0.025471887836824,-0.1755450507437884,0.0490223850418478,0.0362421373893533,0.0,0.1524532274682476,0.1699606259646259,0.0,26.421477646158483
validation,hamilton_ppo,4.0,700000.0,50,0.0200867145552074,-0.2580870062883865,0.0562989595390345,0.0654396388386206,0.0,0.1545527836616042,0.1746220600343918,0.0,26.79597359054432
validation,hamilton_ppo,4.0,800000.0,50,-0.0951694888667611,-0.234998191899053,0.084691227010618,0.0568840341376761,0.0,0.1626224475584108,0.1592443027084191,0.0,31.789004453005628
validation,hamilton_ppo,4.0,900000.0,50,-0.1495045246047521,-0.2295302491887889,0.0678164660551672,0.0892067863966857,0.0,0.1541124337571183,0.1694999587153629,0.0,39.219681821795845
validation,hamilton_ppo,4.0,1000000.0,50,-0.1388949656218465,-0.2182743962896467,0.053398071325311,0.0939973918939232,0.0,0.1403924355476521,0.1601443837184115,0.0,25.914835271363685
validation,return_lstm_ppo,0.0,16000.0,50,0.0020214156963205,-0.0285702650599511,0.0031775177298019,0.0027300525779198,0.0,0.2223753869698407,0.2233597782429029,6.920415224913399e-05,27.81546757584171
