penalty_calibration,policy,learner_seed,n_paths,mean_time_avg_signed_inventory,mean_time_avg_abs_inventory,mean_integrated_squared_inventory,mean_rms_inventory,mean_max_abs_inventory,mean_terminal_inventory,mean_abs_terminal_inventory,mean_squared_terminal_inventory,mean_n_inventory_boundary_contacts,mean_total_bid_fills,mean_total_ask_fills,mean_total_fills,mean_terminal_mtm_wealth_pre_penalty,mean_running_penalty_contribution,mean_terminal_penalty_contribution,mean_final_realised_objective,mean_mean_signed_inventory_event_weighted,mean_mean_abs_inventory_event_weighted,mean_fills,mean_raw_pnl,mean_full_objective,mean_running_penalty,mean_terminal_penalty,sd_final_realised_objective,se_final_realised_objective
original,oracle,,500,0.13365708364174483,3.1611327059742207,17.55518866468194,3.798366513863637,7.856,0.148,4.592,33.092,0.0,31.936,31.788,63.724,46.48607601754446,0.17555188664681937,0.033092,46.277432130897644,0.1394171393326597,3.1820730189244477,63.724,46.48607601754446,46.277432130897644,0.17555188664681937,0.033092,38.4053935697588,1.7175414144922796
original,return_lstm_ppo,0.0,500,-9.989428087991318,10.081804615614601,154.3934834680948,11.585308261905778,19.442,-17.326,17.346,355.278,0.0,18.662,35.988,54.65,48.90339895187315,1.5439348346809478,0.35527800000000004,47.004186117192205,-10.03259755749898,10.12599701940901,54.65,48.90339895187315,47.004186117192205,1.5439348346809478,0.35527800000000004,125.85922113174674,5.628595480915274
original,return_lstm_ppo,1.0,500,-2.3267280555396854,3.774720663988197,26.212616437406126,4.406376709224254,8.056,-3.466,5.73,51.33,0.0,17.024,20.49,37.514,41.56693519613811,0.2621261643740613,0.05133000000000001,41.25347903176405,-2.3283047832757875,3.801178834479019,37.514,41.56693519613811,41.25347903176405,0.2621261643740613,0.05133000000000001,49.660215887206924,2.220872370022194
original,return_lstm_ppo,2.0,500,0.6480513030436578,4.232654410615636,32.73957213889315,4.9520479948800915,9.026,2.568,6.86,72.496,0.0,20.756,18.188,38.944,38.39838221837011,0.32739572138893147,0.072496,37.99849049698118,0.6640123008502667,4.256341641451069,38.944,38.39838221837011,37.99849049698118,0.32739572138893147,0.072496,53.50951993307626,2.3930184802747703
original,return_lstm_ppo,3.0,500,-6.378822418934035,6.7806382371008125,74.1193911090594,7.717471202169225,12.76,-10.206,10.578,149.006,0.0,17.344,27.55,44.894,44.901127461575825,0.7411939110905942,0.14900600000000003,44.01092755048523,-6.4037097084760894,6.80760418066676,44.894,44.901127461575825,44.01092755048523,0.7411939110905942,0.14900600000000003,87.70353649532805,3.9222213894137434
original,return_lstm_ppo,4.0,500,-10.583417895440842,10.664683871713041,162.3290590793332,11.880747114370315,18.48,-14.64,14.7,268.168,0.0,23.688,38.328,62.016,48.186899961236726,1.623290590793332,0.268168,46.2954413704434,-10.60936941915796,10.691722703667905,62.016,48.186899961236726,46.2954413704434,1.623290590793332,0.268168,128.84213865392002,5.761995607932368
original,return_mlp_ppo,0.0,500,-9.32015388520926,9.42252708837469,132.5973603137335,10.540659492755326,16.462,-12.934,13.026,217.918,0.0,19.552,32.486,52.038,48.12418727033979,1.3259736031373355,0.217918,46.580295667202456,-9.333779821158082,9.43733695237674,52.038,48.12418727033979,46.580295667202456,1.3259736031373355,0.217918,117.76242893907263,5.2664959260650965
original,return_mlp_ppo,1.0,500,-3.255551052112952,4.742662095152698,41.14181748928285,5.475860096017315,9.588,-4.826,7.362,83.446,0.0,17.91,22.736,40.646,41.95296185028675,0.41141817489282845,0.08344599999999999,41.458097675393915,-3.2510769912546946,4.765722471075423,40.646,41.95296185028675,41.458097675393915,0.41141817489282845,0.08344599999999999,65.64253234068165,2.935623290579851
original,return_mlp_ppo,2.0,500,-8.065177518800061,8.220086321729138,101.56849306509139,9.195078095782694,14.388,-11.246,11.502,171.354,0.0,15.902,27.148,43.05,44.93768585302854,1.015684930650914,0.17135399999999998,43.75064692237762,-8.075103068301042,8.231274245399565,43.05,44.93768585302854,43.75064692237762,1.015684930650914,0.17135399999999998,103.41013174862003,4.624641683042471
original,return_mlp_ppo,3.0,500,-10.725166456788026,11.126906920156957,206.80482886687895,12.975476523473063,22.29,-20.576,20.928,539.08,0.0,19.054,39.63,58.684,51.385396391601255,2.0680482886687894,0.5390799999999999,48.778268102932465,-10.779704580255627,11.18654396937308,58.684,51.385396391601255,48.778268102932465,2.0680482886687894,0.5390799999999999,146.90369113060885,6.569732790273486
original,return_mlp_ppo,4.0,500,-13.111192330081286,13.737532117443706,306.57374393187223,16.234352684358743,28.402,-27.148,27.856,884.764,0.0,13.464,40.612,54.076,49.33951255360035,3.0657374393187222,0.884764,45.38901111428162,-13.205830003289064,13.83489348521765,54.076,49.33951255360035,45.38901111428162,3.0657374393187222,0.884764,176.347292697163,7.886490682378174
