agent_type,training_seed,evaluation_seed,raw_pnl,full_objective,spread_revenue,adverse_selection_loss,running_penalty,terminal_penalty,mean_abs_inventory,max_abs_inventory,mean_signed_inventory,terminal_signed_inventory,terminal_abs_inventory,fills,bid_action_mean,ask_action_mean,bid_action_std,ask_action_std,mean_quoted_spread,episode_length,reward_reconciliation_error,path_pairing_status,model_path,total_training_timesteps,recurrent_state_reset_verified,return_on_turnover_pct,raw_pnl_loss,full_objective_loss,turnover,checkpoint_selection,loaded_model_path,best_validation_timestep,best_validation_mean_objective
oracle,,130020,86.22621541272872,86.06870791272871,52.7967894595832,22.72666695646507,0.10850750000000182,0.049,2.80275,7.0,2.70575,7.0,7.0,55.0,-0.2977193093786138,-0.3257149869698014,0.13956959228424665,0.13709503054537783,2.1131064458366655,4000,5.542233338928781e-13,exogenous_paired_fills_not_claimed_paired,,,,1.5677493711405224,False,False,5500.0,analytic,,,
oracle,,130021,62.016909695695176,61.90670219569518,55.902873993796625,15.207085097596153,0.10620749999999965,0.004,2.66575,7.0,2.29225,2.0,2.0,62.0,-0.33267963762684505,-0.36417289359800054,0.161121448261156,0.14960234517015128,2.0004052903830627,4000,1.2860823517257813e-12,exogenous_paired_fills_not_claimed_paired,,,,1.0002727370273417,False,False,6200.0,analytic,,,
oracle,,130022,19.522559927588617,19.450864927588615,54.378559538044755,15.639665191075387,0.06769499999999917,0.004,2.0405,5.0,-1.4285,2.0,2.0,56.0,-0.34467366178095926,-0.33137531519172275,0.15883594528858377,0.14344545862959562,2.0323399263179462,4000,9.485745522397337e-13,exogenous_paired_fills_not_claimed_paired,,,,0.34861714156408247,False,False,5600.0,analytic,,,
oracle,,130023,40.56501341874059,39.9591559187406,72.08686038975294,25.067111476965742,0.5058574999999916,0.1,6.45025,12.0,-6.45025,-10.0,10.0,70.0,-0.32540184497691915,-0.2591000373556231,0.12343298736502942,0.12311201060753627,2.172869909934813,4000,1.1795009413617663e-12,exogenous_paired_fills_not_claimed_paired,,,,0.5795001916962942,False,False,7000.0,analytic,,,
oracle,,130024,20.012876373232785,19.956546373232783,46.71809046004678,16.048920355454822,0.052330000000000154,0.004,1.7425,5.0,0.9965,2.0,2.0,46.0,-0.28282248987012587,-0.2871002801071891,0.11367769589678993,0.11840174265033598,2.1952496744536343,4000,1.4566126083082054e-13,exogenous_paired_fills_not_claimed_paired,,,,0.4350625298528866,False,False,4600.0,analytic,,,
oracle,,130025,-18.933613421141388,-19.07290592114138,59.10494516030711,18.851347613310004,0.11429249999999554,0.025,2.77275,6.0,1.83825,5.0,5.0,63.0,-0.33979118481937437,-0.353231821932466,0.15988784206502873,0.14897714329949122,2.006283827692928,4000,6.750155989720952e-13,exogenous_paired_fills_not_claimed_paired,,,,-0.3005335463673236,True,True,6300.0,analytic,,,
oracle,,130026,91.25498520713927,91.17280770713927,66.40844781780768,7.700323780417462,0.0661774999999994,0.016,2.02275,6.0,0.37775,4.0,4.0,86.0,-0.4079240023727654,-0.40439334037953606,0.16373363209588834,0.16354762977184784,1.8231602545240713,4000,3.694822225952521e-13,exogenous_paired_fills_not_claimed_paired,,,,1.0611044791527822,False,False,8600.0,analytic,,,
oracle,,130027,135.97687948758005,135.22268948758003,62.94029691105531,16.315460842797062,0.705190000000004,0.049,7.672,12.0,7.666,7.0,7.0,69.0,-0.31015232047239755,-0.39553586714254957,0.1728330959340645,0.14165439370634897,1.9868420565892857,4000,5.087485988042317e-12,exogenous_paired_fills_not_claimed_paired,,,,1.970679412863479,False,False,6900.0,analytic,,,
oracle,,130028,72.06943492139277,71.95890742139277,66.07439360443213,14.983689937981262,0.11052749999999943,0.0,2.85575,6.0,2.68875,0.0,0.0,72.0,-0.32448213001951065,-0.3525898096569201,0.15325624677765812,0.15119877077775343,2.0307696205363857,4000,1.8474111129762605e-13,exogenous_paired_fills_not_claimed_paired,,,,1.0009643739082328,False,False,7200.0,analytic,,,
oracle,,130029,44.98708240836061,44.81444740836061,51.64556278047866,20.20884696852514,0.12363500000000169,0.049,2.8965,7.0,2.7755,7.0,7.0,45.0,-0.2269171668843693,-0.25415743355325654,0.036611717859652296,0.03600694923411575,2.3316366549348984,4000,4.192202140984591e-13,exogenous_paired_fills_not_claimed_paired,,,,0.9997129424080134,False,False,4500.0,analytic,,,
oracle,,130030,73.09934042960413,72.85660792960412,62.65516502343788,14.907654599225976,0.22673250000000264,0.016,4.24175,8.0,4.12825,4.0,4.0,72.0,-0.36574206349188865,-0.4138479662177673,0.16507786735852104,0.1616745531549302,1.8733985366212347,4000,3.268496584496461e-13,exogenous_paired_fills_not_claimed_paired,,,,1.0152686170778351,False,False,7200.0,analytic,,,
oracle,,130031,38.97598936648666,38.88284436648666,65.56026064915298,16.622657426893895,0.0841449999999972,0.009000000000000001,2.3995,6.0,-0.7585,3.0,3.0,63.0,-0.2919265953472322,-0.28089244890971293,0.12339997009444718,0.11281224072920423,2.1908037291326354,4000,6.892264536872972e-13,exogenous_paired_fills_not_claimed_paired,,,,0.6186664978807407,False,False,6300.0,analytic,,,
oracle,,130032,49.03753111822829,48.994161118228284,54.19593911317254,20.183685137485142,0.03437000000000121,0.009000000000000001,1.507,4.0,-0.269,-3.0,3.0,49.0,-0.25916254770863784,-0.2606601262879555,0.08569097359358342,0.08176332966134761,2.272156163895488,4000,6.821210263296962e-13,exogenous_paired_fills_not_claimed_paired,,,,1.0007659411883325,False,False,4900.0,analytic,,,
oracle,,130033,9.727439690334734,9.669727190334731,56.69017106326055,28.918326434247945,0.05371250000000314,0.004,1.98125,5.0,1.70675,-2.0,2.0,58.0,-0.30745860447079926,-0.33201247947734036,0.1436875363656019,0.14087803072965183,2.0884890671255745,4000,2.1316282072803006e-13,exogenous_paired_fills_not_claimed_paired,,,,0.16771447741956438,False,False,5800.0,analytic,,,
