agent_type,training_seed,evaluation_seed,raw_pnl,full_objective,spread_revenue,adverse_selection_loss,running_penalty,terminal_penalty,mean_abs_inventory,max_abs_inventory,mean_signed_inventory,terminal_signed_inventory,terminal_abs_inventory,fills,bid_action_mean,ask_action_mean,bid_action_std,ask_action_std,mean_quoted_spread,episode_length,reward_reconciliation_error,path_pairing_status,model_path,total_training_timesteps,recurrent_state_reset_verified,return_on_turnover_pct,raw_pnl_loss,full_objective_loss,turnover
randomised,,120012,12.969181155527806,12.86386615552781,77.62961441164589,27.52146189205482,0.10431499999999568,0.001,2.61,8.0,-0.091,-1.0,1.0,81.0,-0.3014000112754342,-0.3101300326266899,0.1330567588029276,0.13534687536760953,2.1313801486540442,4000,6.394884621840902e-14,exogenous_paired_fills_not_claimed_paired,,,,0.16011334759910872,False,False,8100.0
randomised,,120013,46.66072050749926,46.39133050749926,59.57491167521053,9.881783705061522,0.24439000000000438,0.025,4.236,9.0,3.0475,-5.0,5.0,75.0,-0.36506655623457607,-0.4125053482010121,0.16799827896273328,0.16033772801561716,1.876496473402477,4000,3.552713678800501e-13,exogenous_paired_fills_not_claimed_paired,,,,0.6221429400999903,False,False,7500.0
randomised,,120014,55.11908343766565,55.10273343766565,45.170202890734075,17.90705349777062,0.016350000000000208,0.0,0.962,4.0,-0.455,0.0,0.0,46.0,-0.2808512964323819,-0.27424348524778747,0.10780623802393212,0.10880895116699175,2.2180114776616993,4000,2.2737367544323206e-12,exogenous_paired_fills_not_claimed_paired,,,,1.1982409442970794,False,False,4600.0
randomised,,120015,94.97588637805961,94.40741637805961,64.38092673606076,9.415080752393395,0.46847000000000477,0.1,6.4355,12.0,-6.4355,-10.0,10.0,78.0,-0.4363830136321638,-0.3711872467509688,0.161778680160434,0.164628731709156,1.8304472952563802,4000,2.7000623958883807e-13,exogenous_paired_fills_not_claimed_paired,,,,1.217639568949482,False,False,7800.0
randomised,,120016,3.3810460213341003,3.0605735213341014,57.44108694037417,20.384877986903277,0.22047249999999877,0.1,4.03275,10.0,4.03275,10.0,10.0,58.0,-0.2865862350899471,-0.3268139454391459,0.13448186974147627,0.1342644113508709,2.128509382841297,4000,2.1449508835758024e-13,exogenous_paired_fills_not_claimed_paired,,,,0.05829389691955346,False,False,5800.0
randomised,,120017,101.3222641154207,100.9164466154207,43.13439097376533,13.493562178212896,0.3568174999999945,0.049,5.38125,9.0,5.38125,7.0,7.0,41.0,-0.2622953926800454,-0.3173737211955418,0.12324552177386944,0.11791132483366304,2.1802884836727308,4000,1.3073986337985843e-12,exogenous_paired_fills_not_claimed_paired,,,,2.471274734522456,False,False,4100.0
randomised,,120018,59.41834546003588,59.19401546003588,64.51789825478612,19.54689934610261,0.12433000000000106,0.1,2.7275,11.0,-2.1945,-10.0,10.0,68.0,-0.3361159749747181,-0.3175109648707119,0.14075897975892243,0.15087206040344958,2.0667590252804584,4000,2.1884716261411086e-12,exogenous_paired_fills_not_claimed_paired,,,,0.8737991979417041,False,False,6800.0
randomised,,120019,80.36583491473965,80.28980991473965,63.72553864219474,5.948374840060384,0.05102500000000126,0.025,1.8105,5.0,-1.2305,-5.0,5.0,79.0,-0.4385858650215724,-0.4292194890680208,0.16470838605777177,0.15554561364390704,1.7379830093606496,4000,1.4068746168049984e-12,exogenous_paired_fills_not_claimed_paired,,,,1.0172890495536664,False,False,7900.0
randomised,,120020,45.20981141215839,45.14721141215839,57.56091337304305,14.659932159406614,0.046600000000001,0.016,1.8305,5.0,0.683,4.0,4.0,66.0,-0.3387648856284197,-0.34009433644485454,0.15073155735453456,0.15225696417961668,2.0280260406670902,4000,2.2453150450019166e-12,exogenous_paired_fills_not_claimed_paired,,,,0.6849971426084605,False,False,6600.0
randomised,,120021,48.0730603196634,48.0062603196634,61.70673403316354,19.25238029523481,0.062800000000003,0.004,2.111,5.0,0.922,2.0,2.0,64.0,-0.3113263020644405,-0.3214289136282424,0.14341681115069552,0.13986523283181998,2.0987983058799253,4000,5.542233338928781e-13,exogenous_paired_fills_not_claimed_paired,,,,0.7511415674947406,False,False,6400.0
randomised,,120022,86.21471048037586,86.09321048037586,55.60142225691056,20.589827815441534,0.11249999999999785,0.009000000000000001,2.8735,6.0,0.939,-3.0,3.0,51.0,-0.26177514939497093,-0.28496653736754124,0.11097140502019508,0.09771056474003151,2.2308339522202068,4000,7.105427357601002e-14,exogenous_paired_fills_not_claimed_paired,,,,1.690484519223056,False,False,5100.0
randomised,,120023,3.1915605831050016,2.9921330831050024,60.665818796227995,18.107217490366203,0.15042749999999933,0.049,3.07725,8.0,2.28675,7.0,7.0,63.0,-0.3071622663029406,-0.3221638853829649,0.1402214428003753,0.13931004338425074,2.104062113656544,4000,3.956834859764058e-13,exogenous_paired_fills_not_claimed_paired,,,,0.050659691795317485,False,False,6300.0
randomised,,120024,73.05429742282108,73.02347492282108,72.51488042470032,12.802066868563987,0.029822500000000095,0.001,1.38825,4.0,-0.13475,-1.0,1.0,93.0,-0.426825903398067,-0.4300003515394103,0.15969342239275516,0.16120449180572224,1.7548365493887599,4000,2.1458390619955026e-12,exogenous_paired_fills_not_claimed_paired,,,,0.7855300798152806,False,False,9300.0
randomised,,120025,61.71374064131612,61.42686064131611,62.62849075804433,13.731855234600639,0.26188000000001,0.025,4.911,8.0,-4.911,-5.0,5.0,81.0,-0.4840545956185829,-0.4302331248523295,0.1526150446890493,0.1541811577965049,1.6666299400828406,4000,4.618527782440651e-13,exogenous_paired_fills_not_claimed_paired,,,,0.7618980326088409,False,False,8100.0
randomised,,120026,-10.828803381658702,-11.056138381658705,55.84107308207432,23.348881290815562,0.21133500000000402,0.016,4.1795,7.0,-3.984,-4.0,4.0,58.0,-0.34280408838324583,-0.3006796917791022,0.14408039548481608,0.14386215307674344,2.0823293508018743,4000,3.055333763768431e-13,exogenous_paired_fills_not_claimed_paired,,,,-0.18670350658032245,True,True,5800.0
randomised,,120027,38.26473585888867,38.24528835888867,61.17734353915182,19.362966769253607,0.019447499999998674,0.0,1.16625,3.0,-0.90125,0.0,0.0,70.0,-0.3479863288030869,-0.3347023064833659,0.14892472725884925,0.15695982222651078,2.0221476741473703,4000,1.4779288903810084e-12,exogenous_paired_fills_not_claimed_paired,,,,0.5466390836984095,False,False,7000.0
