agent_type,training_seed,training_env_seed,evaluation_seed,raw_pnl,full_objective,spread_revenue,adverse_selection_loss,running_penalty,terminal_penalty,mean_abs_inventory,max_abs_inventory,mean_signed_inventory,terminal_signed_inventory,terminal_abs_inventory,fills,bid_action_mean,ask_action_mean,bid_action_std,ask_action_std,mean_quoted_spread,episode_length,reward_reconciliation_error,path_pairing_status,model_path,total_training_timesteps,recurrent_state_reset_verified,return_on_turnover_pct,raw_pnl_loss,full_objective_loss,turnover,checkpoint_selection,loaded_model_path,best_validation_timestep,best_validation_mean_objective,selected_checkpoint_timestep,selected_validation_mean,selected_validation_std,validation_seed_count,environment_type
belief_weighted,,,170001,23.915039872296404,23.908588960263987,47.109167743600715,12.796414795587438,0.006450912032417625,0.0,0.46875,2.0,-0.08680555555555555,0.0,0.0,82.0,-0.3765364972571257,-0.35135625798509534,0.2897951579480266,0.32226906998037025,1.9527567856459918,288,3.552713678800501e-15,exogenous_paired_fills_not_claimed_paired,,,,0.29164682771093176,False,False,8200.0,analytic,,,,,,,,event
belief_weighted,,,170002,26.62542908169968,26.615719962707917,44.94993799296092,24.220641091131444,0.009709118991762937,0.0,0.5,3.0,0.1413793103448276,0.0,0.0,48.0,-0.21980593896619308,-0.2569048061762739,0.2395163239908091,0.2397685522195996,2.338335420368641,290,7.105427357601002e-15,exogenous_paired_fills_not_claimed_paired,,,,0.5546964392020767,False,False,4800.0,analytic,,,,,,,,event
belief_weighted,,,170003,19.189578461883627,19.181111564338995,49.2190220559121,33.39185418993394,0.004466897544631783,0.004,0.47157190635451507,2.0,-0.010033444816053512,2.0,2.0,64.0,-0.3018555987833718,-0.24698402837112907,0.30373930915872616,0.2526837259166844,2.227613494705153,299,7.105427357601002e-15,exogenous_paired_fills_not_claimed_paired,,,,0.2998371634669317,False,False,6400.0,analytic,,,,,,,,event
belief_weighted,,,170004,20.3734283671282,20.3672804489016,42.12277300246211,16.972183498789356,0.005147918226598686,0.001,0.45229681978798586,2.0,-0.007067137809187279,1.0,1.0,59.0,-0.30523416014739413,-0.3074335639290076,0.30676292540113004,0.2944632707839139,2.1296337450474523,283,7.105427357601002e-15,exogenous_paired_fills_not_claimed_paired,,,,0.3453123452055627,False,False,5900.0,analytic,,,,,,,,event
belief_weighted,,,170005,18.203121288152886,18.187310229985854,56.623338354995376,23.58031067245763,0.006811058167029538,0.009000000000000001,0.6146179401993356,3.0,0.07641196013289037,-3.0,3.0,75.0,-0.24156788658545159,-0.32691701918493055,0.3090707739244507,0.30941791054874274,2.1974568775793886,301,0.0,exogenous_paired_fills_not_claimed_paired,,,,0.2427082838420385,False,False,7500.0,analytic,,,,,,,,event
belief_weighted,,,170006,26.154912814462264,26.1516897560528,38.22085051414587,21.707954925874173,0.003223058409465703,0.0,0.3346774193548387,2.0,-0.14919354838709678,0.0,0.0,50.0,-0.3145433236986918,-0.22628450887970758,0.23042405574853142,0.23282367248389707,2.239912053877859,248,0.0,exogenous_paired_fills_not_claimed_paired,,,,0.5230982562892452,False,False,5000.0,analytic,,,,,,,,event
belief_weighted,,,170007,43.15693615796937,43.14098748518471,64.5277119521824,26.86759527845374,0.014948672784664314,0.001,0.8823529411764706,4.0,0.39100346020761245,1.0,1.0,79.0,-0.22041641212414423,-0.3499390402188351,0.33444340029404457,0.31929221762726584,2.194585482476847,289,0.0,exogenous_paired_fills_not_claimed_paired,,,,0.5462903311135363,False,False,7900.0,analytic,,,,,,,,event
belief_weighted,,,170008,21.60690496132591,21.594467876370775,62.915671131460336,27.283567053764354,0.00843708495513501,0.004,0.6571428571428571,3.0,0.24285714285714285,2.0,2.0,76.0,-0.21922912849952833,-0.33364681465058177,0.30378564310690775,0.3220654891654979,2.221417520677083,280,2.4868995751603507e-14,exogenous_paired_fills_not_claimed_paired,,,,0.28430138107007774,False,False,7600.0,analytic,,,,,,,,event
belief_weighted,,,170009,52.14310814623151,52.13621450377772,59.464731476049444,16.594017500720895,0.005893642453788319,0.001,0.5288135593220339,2.0,-0.02711864406779661,-1.0,1.0,95.0,-0.3712192934257391,-0.34862440750442786,0.2900412479954125,0.3229401157543306,1.9651125406270833,295,1.4210854715202004e-14,exogenous_paired_fills_not_claimed_paired,,,,0.5488748225919107,False,False,9500.0,analytic,,,,,,,,event
belief_weighted,,,170010,36.40243174515217,36.386067328524106,43.66280847199313,19.83556864393275,0.007364416628063499,0.009000000000000001,0.5669014084507042,3.0,-0.07394366197183098,-3.0,3.0,65.0,-0.31938721719429986,-0.32725165094028585,0.3177761614514272,0.2783976159577189,2.0774861117805674,284,7.105427357601002e-15,exogenous_paired_fills_not_claimed_paired,,,,0.5600374114638795,False,False,6500.0,analytic,,,,,,,,event
