training_seed,q,tau,b,q_scaled,bid_action,ask_action,bid_depth,ask_depth
0,-20,0.25,0.9,-0.9640275800758169,-0.2629779279232025,-0.43925514817237854,1.1313706909144112,0.8607751578609574
0,-20,0.25,1.0,-0.9640275800758169,-0.2694302499294281,-0.3824767768383026,1.1214660106032563,0.9479331788198399
0,-20,0.05,0.0,-0.9640275800758169,-0.15964794158935547,-0.8375321626663208,1.2899880817088076,0.2493973468903408
0,-20,0.05,0.1,-0.9640275800758169,-0.16872993111610413,-0.7872928380966187,1.2760467125761281,0.32651756011453126
0,-20,0.05,0.2,-0.9640275800758169,-0.17770785093307495,-0.7353857159614563,1.2622650963516928,0.4061979372136286
0,-20,0.05,0.3,-0.9640275800758169,-0.18652251362800598,-0.682000994682312,1.2487340890709469,0.4881465128209617
0,-20,0.05,0.4,-0.9640275800758169,-0.19511979818344116,-0.6273460388183594,1.2355367695658983,0.572044970574685
0,-20,0.05,0.5,-0.9640275800758169,-0.20345163345336914,-0.5716407895088196,1.222746929772686,0.657555688349127
0,-20,0.05,0.6,-0.9640275800758169,-0.21147608757019043,-0.515114426612854,1.2104289374868145,0.7443268620594085
0,-20,0.05,0.7,-0.9640275800758169,-0.219157874584198,-0.45800095796585083,1.1986369586428085,0.8319992764032567
0,-20,0.05,0.8,-0.9640275800758169,-0.22646793723106384,-0.4005354344844818,1.187415597789791,0.9202121148894564
0,-20,0.05,0.9,-0.9640275800758169,-0.2333834171295166,-0.3429510295391083,1.1767999438397396,1.0086074431668894
0,-20,0.05,1.0,-0.9640275800758169,-0.23988699913024902,-0.2854750454425812,1.1668165765291056,1.0968363392907736
0,-15,1.0,0.0,-0.9051482536448665,-0.27571335434913635,-1.0,1.111821088886893,0.0
0,-15,1.0,0.1,-0.9051482536448665,-0.2848716378211975,-1.0,1.097762604220105,0.0
0,-15,1.0,0.2,-0.9051482536448665,-0.2939041554927826,-1.0,1.0838971771915735,0.0
0,-15,1.0,0.3,-0.9051482536448665,-0.3027494549751282,-0.987701416015625,1.0703191407041623,0.018879024098238127
0,-15,1.0,0.4,-0.9051482536448665,-0.3113510310649872,-0.9407852292060852,1.05711523345032,0.09089803234341826
0,-15,1.0,0.5,-0.9051482536448665,-0.3196587860584259,-0.89268958568573,1.0443623582475607,0.164727573548702
0,-15,1.0,0.6,-0.9051482536448665,-0.32762953639030457,-0.8435843586921692,1.03212680431812,0.2401068826576766
0,-15,1.0,0.7,-0.9051482536448665,-0.3352271020412445,-0.7936438322067261,1.020464110044188,0.3167684238721137
0,-15,1.0,0.8,-0.9051482536448665,-0.3424225449562073,-0.7430447340011597,1.0094186969818661,0.394440910036833
0,-15,1.0,0.9,-0.9051482536448665,-0.3491933345794678,-0.6919643878936768,0.9990251508123206,0.47285213903154405
0,-15,1.0,1.0,-0.9051482536448665,-0.3555229604244232,-0.6405786871910095,0.9893088160691045,0.5517321046522209
0,-15,0.75,0.0,-0.9051482536448665,-0.24987933039665222,-1.0,1.1514777811835868,0.0
0,-15,0.75,0.1,-0.9051482536448665,-0.259098619222641,-1.0,1.137325649837768,0.0
0,-15,0.75,0.2,-0.9051482536448665,-0.2681903839111328,-0.9619646072387695,1.1233692752772806,0.05838648558545527
0,-15,0.75,0.3,-0.9051482536448665,-0.27709200978279114,-0.9137044548988342,1.1097047745869537,0.13246855716115977
