q,tau,b,bid_action,ask_action_mirror,symmetry_error
-15,1.0,0.1,-0.2848716378211975,0.5509456396102905,-0.835817277431488
-15,1.0,0.2,-0.2939041554927826,0.6008968949317932,-0.8948010504245758
-15,1.0,0.3,-0.3027494549751282,0.6492329835891724,-0.9519824385643005
-15,1.0,0.4,-0.3113510310649872,0.695818305015564,-1.0071693360805511
-15,1.0,0.5,-0.3196587860584259,0.7405475378036499,-1.0602063238620758
-15,1.0,0.6,-0.32762953639030457,0.783346951007843,-1.1109764873981476
-15,1.0,0.7,-0.3352271020412445,0.8241727948188782,-1.1593998968601227
-15,1.0,0.8,-0.3424225449562073,0.8630096912384033,-1.2054322361946106
-15,1.0,0.9,-0.3491933345794678,0.8998672962188721,-1.2490606307983398
-15,1.0,1.0,-0.3555229604244232,0.9347766637802124,-1.2902996242046356
-15,0.75,0.0,-0.24987933039665222,0.6409473419189453,-0.8908266723155975
-15,0.75,0.1,-0.259098619222641,0.6914345026016235,-0.9505331218242645
-15,0.75,0.2,-0.2681903839111328,0.7401816844940186,-1.0083720684051514
-15,0.75,0.3,-0.27709200978279114,0.7870485782623291,-1.0641405880451202
-15,0.75,0.4,-0.2857459783554077,0.8319256901741028,-1.1176716685295105
-15,0.75,0.5,-0.2941010892391205,0.8747363686561584,-1.168837457895279
-15,0.75,0.6,-0.3021131455898285,0.9154353141784668,-1.2175484597682953
-15,0.75,0.7,-0.3097449839115143,0.9540073871612549,-1.2637523710727692
-15,0.75,0.8,-0.31696656346321106,0.9904648065567017,-1.3074313700199127
-15,0.75,0.9,-0.32375437021255493,1.0,-1.323754370212555
-15,0.75,1.0,-0.3300911486148834,1.0,-1.3300911486148834
-15,0.5,0.0,-0.2199924886226654,0.777244508266449,-0.9972369968891144
-15,0.5,0.1,-0.22922852635383606,0.8261398673057556,-1.0553683936595917
-15,0.5,0.2,-0.23833802342414856,0.8730635046958923,-1.111401528120041
-15,0.5,0.3,-0.24725806713104248,0.9179020524024963,-1.1651601195335388
-15,0.5,0.4,-0.2559308409690857,0.9605743885040283,-1.216505229473114
-15,0.5,0.5,-0.2643048167228699,1.0,-1.2643048167228699
-15,0.5,0.6,-0.2723354399204254,1.0,-1.2723354399204254
-15,0.5,0.7,-0.2799852192401886,1.0,-1.2799852192401886
-15,0.5,0.8,-0.28722360730171204,1.0,-1.287223607301712
-15,0.5,0.9,-0.2940267324447632,1.0,-1.2940267324447632
-15,0.5,1.0,-0.3003770709037781,1.0,-1.300377070903778
-15,0.25,0.0,-0.1858530044555664,0.9044268131256104,-1.0902798175811768
-15,0.25,0.1,-0.19506019353866577,0.9512284398078918,-1.1462886333465576
-15,0.25,0.2,-0.20414695143699646,0.9958977699279785,-1.200044721364975
-15,0.25,0.3,-0.21305057406425476,1.0,-1.2130505740642548
-15,0.25,0.4,-0.22171378135681152,1.0,-1.2217137813568115
-15,0.25,0.5,-0.23008552193641663,1.0,-1.2300855219364166
-15,0.25,0.6,-0.23812153935432434,1.0,-1.2381215393543243
-15,0.25,0.7,-0.245784729719162,1.0,-1.245784729719162
-15,0.25,0.8,-0.25304481387138367,1.0,-1.2530448138713837
-15,0.25,0.9,-0.2598781883716583,1.0,-1.2598781883716583
-15,0.25,1.0,-0.26626765727996826,1.0,-1.2662676572799683
-15,0.05,0.0,-0.1555483490228653,0.997471034526825,-1.1530193835496902
-15,0.05,0.1,-0.16469785571098328,1.0,-1.1646978557109833
-15,0.05,0.2,-0.17373692989349365,1.0,-1.1737369298934937
-15,0.05,0.3,-0.18260374665260315,1.0,-1.1826037466526031
-15,0.05,0.4,-0.19124189019203186,1.0,-1.1912418901920319
-15,0.05,0.5,-0.1996012032032013,1.0,-1.1996012032032013
-15,0.05,0.6,-0.20763835310935974,1.0,-1.2076383531093597
-15,0.05,0.7,-0.21531692147254944,1.0,-1.2153169214725494
-15,0.05,0.8,-0.22260740399360657,1.0,-1.2226074039936066
-15,0.05,0.9,-0.22948694229125977,1.0,-1.2294869422912598
-15,0.05,1.0,-0.23593869805335999,1.0,-1.23593869805336
-10,1.0,0.0,-0.27308574318885803,0.369363009929657,-0.642448753118515
-10,1.0,0.1,-0.2824220359325409,0.4235113263130188,-0.7059333622455597
-10,1.0,0.2,-0.29160359501838684,0.4763617515563965,-0.7679653465747833
-10,1.0,0.3,-0.30056339502334595,0.527714729309082,-0.828278124332428
-10,1.0,0.4,-0.3092401623725891,0.5773999691009521,-0.8866401314735413
-10,1.0,0.5,-0.3175797760486603,0.62527996301651,-0.9428597390651703
-10,1.0,0.6,-0.32553619146347046,0.6712508201599121,-0.9967870116233826
-10,1.0,0.7,-0.33307182788848877,0.7152424454689026,-1.0483142733573914
-10,1.0,0.8,-0.34015709161758423,0.7572171092033386,-1.0973742008209229
-10,1.0,0.9,-0.34677040576934814,0.7971649169921875,-1.1439353227615356
