level,training_seed,metric,n,mean,std,median,ci_lo,ci_hi,min,max
between_training_seeds,ALL,frac_bid_near_low,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
within_seed,0,frac_bid_near_high,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
within_seed,1,frac_bid_near_high,100,2.5e-05,0.00024999999999999995,0.0,-2.3999999999999984e-05,7.399999999999998e-05,0.0,0.0025
within_seed,2,frac_bid_near_high,100,0.00981,0.014833976833164756,0.008375,0.006902540540699708,0.012717459459300291,0.0,0.10775
within_seed,3,frac_bid_near_high,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
within_seed,4,frac_bid_near_high,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
between_training_seeds,ALL,frac_bid_near_high,5,0.001967,0.00438438365109624,0.0,-0.001876081714249646,0.0058100817142496455,0.0,0.00981
within_seed,0,frac_ask_near_low,100,0.012855,0.05667975762335636,0.0,0.0017457675058221538,0.023964232494177846,0.0,0.33475
within_seed,1,frac_ask_near_low,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
within_seed,2,frac_ask_near_low,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
within_seed,3,frac_ask_near_low,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
within_seed,4,frac_ask_near_low,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
between_training_seeds,ALL,frac_ask_near_low,5,0.002571,0.005748930770151959,0.0,-0.002468159999999999,0.0076101599999999995,0.0,0.012855
within_seed,0,frac_ask_near_high,100,0.33654749999999994,0.20845230449976468,0.391625,0.29569084831804604,0.37740415168195385,0.0,0.71775
within_seed,1,frac_ask_near_high,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
within_seed,2,frac_ask_near_high,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
within_seed,3,frac_ask_near_high,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
within_seed,4,frac_ask_near_high,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
between_training_seeds,ALL,frac_ask_near_high,5,0.0673095,0.1505086175315221,0.0,-0.06461712,0.19923612,0.0,0.33654749999999994
within_seed,0,mean_belief,100,0.7161926483312726,0.15221410997305823,0.7374205569977255,0.6863586827765532,0.746026613885992,0.35244789065297566,0.9557769870332751
within_seed,1,mean_belief,100,0.7161926483312726,0.15221410997305823,0.7374205569977255,0.6863586827765532,0.746026613885992,0.35244789065297566,0.9557769870332751
within_seed,2,mean_belief,100,0.7161926483312726,0.15221410997305823,0.7374205569977255,0.6863586827765532,0.746026613885992,0.35244789065297566,0.9557769870332751
within_seed,3,mean_belief,100,0.7161926483312726,0.15221410997305823,0.7374205569977255,0.6863586827765532,0.746026613885992,0.35244789065297566,0.9557769870332751
within_seed,4,mean_belief,100,0.7161926483312726,0.15221410997305823,0.7374205569977255,0.6863586827765532,0.746026613885992,0.35244789065297566,0.9557769870332751
between_training_seeds,ALL,mean_belief,5,0.7161926483312726,0.0,0.7161926483312726,0.7161926483312726,0.7161926483312726,0.7161926483312726,0.7161926483312726
within_seed,0,belief_std,100,0.35952565773439316,0.09758122472097502,0.39103456428095856,0.34039973768908205,0.37865157777970426,0.09355335271900993,0.4597039849250466
within_seed,1,belief_std,100,0.35952565773439316,0.09758122472097502,0.39103456428095856,0.34039973768908205,0.37865157777970426,0.09355335271900993,0.4597039849250466
within_seed,2,belief_std,100,0.35952565773439316,0.09758122472097502,0.39103456428095856,0.34039973768908205,0.37865157777970426,0.09355335271900993,0.4597039849250466
within_seed,3,belief_std,100,0.35952565773439316,0.09758122472097502,0.39103456428095856,0.34039973768908205,0.37865157777970426,0.09355335271900993,0.4597039849250466
within_seed,4,belief_std,100,0.35952565773439316,0.09758122472097502,0.39103456428095856,0.34039973768908205,0.37865157777970426,0.09355335271900993,0.4597039849250466
between_training_seeds,ALL,belief_std,5,0.35952565773439316,0.0,0.35952565773439316,0.35952565773439316,0.35952565773439316,0.35952565773439316,0.35952565773439316
within_seed,0,belief_accuracy_offline,100,0.9458625000000002,0.02053370520004668,0.9452499999999999,0.941837893780791,0.9498871062192094,0.8975,0.99225
within_seed,1,belief_accuracy_offline,100,0.9458625000000002,0.02053370520004668,0.9452499999999999,0.941837893780791,0.9498871062192094,0.8975,0.99225
within_seed,2,belief_accuracy_offline,100,0.9458625000000002,0.02053370520004668,0.9452499999999999,0.941837893780791,0.9498871062192094,0.8975,0.99225
within_seed,3,belief_accuracy_offline,100,0.9458625000000002,0.02053370520004668,0.9452499999999999,0.941837893780791,0.9498871062192094,0.8975,0.99225
within_seed,4,belief_accuracy_offline,100,0.9458625000000002,0.02053370520004668,0.9452499999999999,0.941837893780791,0.9498871062192094,0.8975,0.99225
