seed,cumulative_objective,raw_pnl,running_inventory_penalty,terminal_inventory_penalty,full_objective,reconciliation_abs_diff,mean_signed_inventory,mean_abs_inventory,terminal_signed_inventory,terminal_abs_inventory,total_fills,bid_action_mean,bid_action_std,ask_action_mean,ask_action_std,frac_bid_near_low,frac_bid_near_high,frac_ask_near_low,frac_ask_near_high,mean_belief,episode_length,treatment
100005,24.287274799506527,24.77911729950631,0.41084249999999767,0.081,24.287274799506314,2.1316282072803006e-13,5.98375,5.98375,9.0,9.0,19.0,-0.1398038042522967,0.074430414687584,0.7029197976458817,0.3204611791944458,0.0,0.0,0.0,0.359,0.6687506056361391,4000,shuffled
100005,38.40408260421775,38.4372126042183,0.024129999999999867,0.009000000000000001,38.4040826042183,5.542233338928781e-13,1.1865,1.229,3.0,3.0,27.0,-0.16367316417442634,0.05387621235481317,0.19033783322479575,0.3565609646841446,0.0,0.0,0.0,0.0,0.6687506056361391,4000,complement
100006,72.2168479883201,75.52318298832142,2.681334999999909,0.625,72.21684798832152,1.4210854715202004e-12,14.3435,14.3435,25.0,25.0,27.0,-0.10653692353144288,0.0899054737460307,0.766429566251114,0.34867247872472906,0.0,0.0,0.0,0.443,0.5679254705577521,4000,correct
100006,71.9457697593696,75.25210475937092,2.681334999999909,0.625,71.94576975937102,1.4210854715202004e-12,14.3435,14.3435,25.0,25.0,27.0,-0.11979669915838168,0.08290117758287287,0.8218531748503447,0.3241937904952902,0.0,0.0,0.0,0.6285,0.5679254705577521,4000,stationary
100006,69.7460072229255,72.7257572229255,2.4037500000000085,0.5760000000000001,69.7460072229255,0.0,13.415,13.4935,24.0,24.0,28.0,-0.10923212886974215,0.09022063154061323,0.7446738684517331,0.39736256673247333,0.0,0.0,0.0,0.48275,0.5679254705577521,4000,shuffled
100006,70.9405277668215,73.67394276682217,2.204414999999944,0.529,70.94052776682223,7.247535904753022e-13,12.888,12.9795,23.0,23.0,29.0,-0.1002317180102691,0.08962766428189606,0.702382705675438,0.4339299726740756,0.0,0.0,0.0,0.451,0.5679254705577521,4000,complement
100007,22.476823623463492,23.270376123463393,0.5975524999999796,0.196,22.47682362346341,8.171241461241152e-14,7.03125,7.03125,14.0,14.0,20.0,-0.11402602619258687,0.09678972376492861,0.6685472014229744,0.25857342549500634,0.0,0.0,0.0,0.07725,0.39979368863502734,4000,correct
100007,22.575478510477573,23.53922351047686,0.7077449999999714,0.256,22.575478510476888,6.856737400084967e-13,7.3865,7.398,16.0,16.0,22.0,-0.14047074058558792,0.07737156105615604,0.7583156550819986,0.290793895280998,0.0,0.0,0.0,0.342,0.39979368863502734,4000,stationary
100007,16.26800886024752,16.42710136024766,0.09509249999999835,0.064,16.26800886024766,1.4210854715202004e-13,1.83025,2.31625,8.0,8.0,26.0,-0.16148217472573742,0.07997280012212706,0.26666924842307344,0.41021437490495977,0.0,0.0,0.0,0.04325,0.39979368863502734,4000,shuffled
100007,24.23386915590835,24.63096665590865,0.2530975000000004,0.14400000000000002,24.233869155908653,3.019806626980426e-13,3.68175,3.69325,12.0,12.0,28.0,-0.15992693876009434,0.058343553546272374,0.4497466835482046,0.5168106163131456,0.0,0.0,0.0,0.30175,0.39979368863502734,4000,complement
