agent_type,training_seed,training_env_seed,evaluation_seed,raw_pnl,full_objective,spread_revenue,adverse_selection_loss,running_penalty,terminal_penalty,mean_abs_inventory,max_abs_inventory,mean_signed_inventory,terminal_signed_inventory,terminal_abs_inventory,fills,bid_action_mean,ask_action_mean,bid_action_std,ask_action_std,mean_quoted_spread,episode_length,reward_reconciliation_error,path_pairing_status,model_path,total_training_timesteps,recurrent_state_reset_verified,return_on_turnover_pct,raw_pnl_loss,full_objective_loss,turnover,checkpoint_selection,loaded_model_path,best_validation_timestep,best_validation_mean_objective,selected_checkpoint_timestep,selected_validation_mean,selected_validation_std,validation_seed_count
oracle,,,160034,158.5004019867605,158.2181769867605,45.408139813316545,15.650754432913534,0.2182249999999986,0.064,3.7795,9.0,2.8255,8.0,8.0,40.0,-0.23778295821665812,-0.25702870687641177,0.06339089145245975,0.0569994819749225,2.310549481403484,4000,2.1316282072803006e-12,exogenous_paired_fills_not_claimed_paired,,,,3.9625100496690124,False,False,4000.0,analytic,,,,,,,
oracle,,,160035,81.30786116913765,81.26671616913765,65.34235508374263,22.335043574626877,0.04114500000000244,0.0,1.615,5.0,-0.9745,0.0,0.0,62.0,-0.28863434261992527,-0.2734653993198741,0.11393819911917573,0.11087515633530008,2.2072584662811394,4000,9.947598300641403e-13,exogenous_paired_fills_not_claimed_paired,,,,1.3114171156312524,False,False,6200.0,analytic,,,,,,,
oracle,,,160036,62.720982847482844,62.639170347482846,73.2305216768338,22.5948920549425,0.07281250000000059,0.009000000000000001,2.34525,6.0,-2.03775,-3.0,3.0,67.0,-0.2771663113885711,-0.2573243415169963,0.09484509164591472,0.09712763824605808,2.2496399841753845,4000,1.0302869668521453e-12,exogenous_paired_fills_not_claimed_paired,,,,0.9361340723504903,False,False,6700.0,analytic,,,,,,,
oracle,,,160037,-23.73664523394973,-24.217285233949728,66.55548413691456,14.423375351701248,0.33663999999999955,0.14400000000000002,4.4795,12.0,3.5015,12.0,12.0,76.0,-0.3745682342528031,-0.39900325393758906,0.16291331326518066,0.1648108784495662,1.8826373392771165,4000,1.0338396805309458e-12,exogenous_paired_fills_not_claimed_paired,,,,-0.31232427939407537,True,True,7600.0,analytic,,,,,,,
oracle,,,160038,41.514518619668294,41.4147636196683,48.407522744824924,11.380671420516254,0.09875499999999601,0.001,2.6105,6.0,-1.7815,1.0,1.0,53.0,-0.33324777664802513,-0.31244881667588037,0.13869265554595792,0.15026038928496732,2.0789325570689514,4000,2.0605739337042905e-13,exogenous_paired_fills_not_claimed_paired,,,,0.7832928041446847,False,False,5300.0,analytic,,,,,,,
oracle,,,160039,63.36566039049369,63.33225039049369,66.67570148703757,15.954456040858302,0.03240999999999945,0.001,1.488,5.0,-0.5865,1.0,1.0,73.0,-0.3510656182848124,-0.3436735472232998,0.15244245656299377,0.1563446518164062,2.003649426646659,4000,1.7834622667578515e-12,exogenous_paired_fills_not_claimed_paired,,,,0.8680227450752561,False,False,7300.0,analytic,,,,,,,
oracle,,,160040,42.12346781287397,42.026547812873964,66.75206584687427,20.98890305211109,0.06092000000000067,0.036000000000000004,1.939,6.0,0.2365,-6.0,6.0,64.0,-0.28403284606435864,-0.2928178940574529,0.12047169977394745,0.11832953573722277,2.1846148472673503,4000,3.339550858072471e-13,exogenous_paired_fills_not_claimed_paired,,,,0.6581791845761558,False,False,6400.0,analytic,,,,,,,
oracle,,,160041,50.55434372013565,50.214143720135645,68.30127884372499,18.429233738819,0.2591999999999985,0.081,3.6985,12.0,-3.067,-9.0,9.0,81.0,-0.3853683597981321,-0.36561825803886205,0.16525929792442962,0.158499584591907,1.9173063964790746,4000,1.6342482922482304e-13,exogenous_paired_fills_not_claimed_paired,,,,0.6241277002485882,False,False,8100.0,analytic,,,,,,,
oracle,,,160042,43.742406301460534,43.69079880146054,54.37105551181258,9.130921856284692,0.04760749999999979,0.004,1.68225,5.0,1.52575,2.0,2.0,68.0,-0.4001682545260642,-0.4146773411803515,0.15873319188592344,0.16805598577551722,1.8192792428150972,4000,7.105427357601002e-14,exogenous_paired_fills_not_claimed_paired,,,,0.6432706809038313,False,False,6800.0,analytic,,,,,,,
oracle,,,160043,67.10121971645896,66.98412971645897,57.514483056557076,18.167335807569245,0.10808999999998971,0.009000000000000001,2.9325,6.0,1.877,-3.0,3.0,63.0,-0.3028180922786843,-0.33522176869765313,0.14422788346094384,0.1407136574618964,2.0906860755786556,4000,2.3305801732931286e-12,exogenous_paired_fills_not_claimed_paired,,,,1.0650987256580786,False,False,6300.0,analytic,,,,,,,
