group,learner_seed,update_index,num_timesteps,actor_distance_from_clone,deterministic_objective,deterministic_objective_change_from_t0,bid_action_depth_mse,ask_action_depth_mse,mean_quoted_spread_error_signed,mean_inventory_skew_error_signed,frac_wrong_inventory_skew,corr_bid,corr_ask,frac_wider_than_analytical,n_states
B_clone_init,1,3,12000,0.24807260930538177,33.12589103633797,3.712435239440701,0.03131242834425939,0.03245968707228868,-0.15881536147525782,-0.03261572892136225,0.8888888888888888,0.9313694771017729,0.8868452722821573,0.29259259259259257,270
B_clone_init,1,4,16000,0.2860477864742279,35.81090497686223,6.3974491799649655,0.01881194517934288,0.056175344656636136,-0.15021116262992412,-0.13854890913006693,0.8888888888888888,0.9303543691511398,0.777230720731188,0.24814814814814815,270
B_clone_init,1,5,20000,0.2590198218822479,37.426631236860366,8.0131754399631,0.011741252791339711,0.09517544894406764,-0.20675306143993932,-0.29892592676740404,0.8296296296296296,0.9443209990464291,0.8042942467913806,0.12222222222222222,270
B_clone_init,1,6,24000,0.24710598587989807,37.48348513614824,8.070029339250972,0.01366628921847969,0.03442852486015274,-0.08998320076916802,-0.11795871664730267,0.8888888888888888,0.9286796735844608,0.8563169101533199,0.3,270
B_clone_init,1,7,28000,0.28186172246932983,34.46375890721898,5.050303110321714,0.014758227599697183,0.06533064370208977,-0.2333190910790906,-0.1610064627170546,0.8888888888888888,0.9300631820496934,0.8415173996498171,0.09259259259259259,270
B_clone_init,1,8,32000,0.2931947708129883,31.93448717771155,2.521031380814282,0.05601698538521096,0.095315498459603,-0.42719133450674796,-0.1305104612120091,0.8592592592592593,0.8265265174557516,0.8995597738052674,0.014814814814814815,270
B_clone_init,1,9,36000,0.3910253643989563,27.087096443951715,-2.326359352945552,0.07201362423454137,0.06493727355227635,-0.3203708789125041,-0.0808023229055438,0.8407407407407408,0.7996210628011821,0.8633120271463202,0.1111111111111111,270
B_clone_init,1,10,40000,0.45429345965385437,28.588711755377563,-0.824744041519704,0.10142455461144535,0.09603506988853613,-0.41976232849784234,-0.004033259269662716,0.8851851851851852,0.8530812382955004,0.8123764323136902,0.06296296296296296,270
B_clone_init,1,11,44000,0.426973819732666,21.590740812961883,-7.822714983935384,0.12709283179485054,0.08520284384003297,-0.4759886550788716,0.07058418507851395,0.8814814814814815,0.8199423199341573,0.8297369608971059,0.05555555555555555,270
B_clone_init,1,12,48000,0.5072361826896667,19.486443330052083,-9.927012466845184,0.12932392982453317,0.08456994889934087,-0.38525162897646076,0.06679709365591782,0.8629629629629629,0.7922757675270642,0.8166110600721315,0.15185185185185185,270
