n_updates,num_timesteps,policy_loss,value_loss,entropy_loss,approx_kl,clip_fraction,explained_variance,log_std_mean,advantage_mean,advantage_std,advantage_min,advantage_max,return_mean,return_std,actor_grad_norm_mean,critic_grad_norm_mean,actor_param_update_norm,critic_param_update_norm,frac_sampled_action_clipped,frac_sampled_action_near_bound,log_std_bid,log_std_ask,action_std_bid,action_std_ask,learning_rate,total_loss
410,164000,-0.0009851791062246784,104.83431106567383,0.42438212722539903,0.0036876804661005735,0.01585000001359731,0.5278316736221313,0.1957641839981079,-2.410888910293579,10.326019287109375,-93.49700164794922,46.511985778808594,15.676939010620117,15.027422904968262,0.5928526891179073,24.23261629376126,0.06532052159309387,0.5629518628120422,0.0,0.0,-1.6697511672973633,-1.5933951139450073,0.18829390406608582,0.20323443412780762,0.0003,36.555023193359375
420,168000,-0.0015028738781104024,39.97455074310303,0.4373266875743866,0.0032608062028884888,0.01839999997988343,0.7639966607093811,0.19319593906402588,0.8182330131530762,6.358577251434326,-33.64894104003906,34.191654205322266,16.66172218322754,13.088830947875977,0.5744323388787339,8.196767179225905,0.12166312336921692,0.6599107980728149,0.0,0.0,-1.683569073677063,-1.606034278869629,0.18570996820926666,0.2006818950176239,0.0003,21.331279754638672
430,172000,-0.0018755724903718107,49.40134799957276,0.45618409901857376,0.0039737531915307045,0.025800000014714896,0.7204526662826538,0.1924304962158203,-0.2222796380519867,7.119997978210449,-36.629302978515625,34.75154113769531,16.531803131103516,13.466421127319336,0.5359926794631876,9.167555609579274,0.1090148389339447,0.7178330421447754,0.0,0.0,-1.6877912282943726,-1.6097707748413086,0.18492752313613892,0.19993342459201813,0.0003,21.94656753540039
440,176000,-0.0027579109637048526,68.11694400787354,0.45557507783174517,0.004814984742552042,0.032849999978207055,0.6393731832504272,0.19328543543815613,0.791695773601532,8.355362892150879,-40.705482482910156,51.59989547729492,17.791399002075195,13.913497924804688,0.6608082139639536,11.516482825606259,0.09121869504451752,0.654155433177948,0.0,0.0,-1.6852704286575317,-1.6035722494125366,0.1853943020105362,0.20117658376693726,0.0003,31.705360412597656
450,180000,-0.0021066379879277532,56.24232601165772,0.4486768451333046,0.004089769907295704,0.036675000176765025,0.7040412425994873,0.19372788071632385,-0.35620832443237305,7.643574237823486,-38.43973922729492,43.394744873046875,17.324207305908203,14.05014705657959,0.5977230591878704,8.899123698329925,0.06635139137506485,1.0562851428985596,0.0,0.0,-1.6834185123443604,-1.6008855104446411,0.1857379525899887,0.201717808842659,0.0003,25.02310562133789
460,184000,-0.0025372410160969584,66.42534278869628,0.44861546367406846,0.004562924616038799,0.032949999957345426,0.6004438400268555,0.19295698404312134,1.1504409313201904,8.329764366149902,-35.92852783203125,38.48533630371094,17.913658142089844,13.177826881408691,0.5791173517984738,11.202247335390577,0.10754212737083435,1.0071429014205933,0.0,0.0,-1.6852067708969116,-1.6069016456604004,0.18540608882904053,0.20050787925720215,0.0003,35.992149353027344
470,188000,-0.0007152090908828512,45.76196109771728,0.45959852039814,0.002866678638383746,0.009925000001676381,0.6988893151283264,0.19188648462295532,-0.37065884470939636,6.8002190589904785,-40.74834442138672,26.82677459716797,17.592668533325195,12.392524719238281,0.5808304332890625,8.42997885388172,0.09818241745233536,0.4697289764881134,0.0,0.0,-1.6894739866256714,-1.6136651039123535,0.18461661040782928,0.19915634393692017,0.0003,25.446226119995117
480,192000,-0.0015057143296857234,145.83237201690673,0.46525557577610016,0.0036212652921676636,0.013200000044889748,0.382770836353302,0.19181279838085175,1.240102767944336,12.324394226074219,-35.92528533935547,161.74075317382812,18.847272872924805,15.687088966369629,0.6209019035254975,21.683116413747886,0.09485950320959091,0.911054790019989,0.0,0.0,-1.6857620477676392,-1.6178611516952515,0.18530315160751343,0.19832241535186768,0.0003,92.00242614746094
490,196000,-0.0009121201462676254,97.18523571014404,0.4665684878826141,0.0038925751578062773,0.018075000024400652,0.5627695322036743,0.1916693150997162,0.3828701376914978,9.97541618347168,-71.59805297851562,49.83562469482422,18.656532287597656,15.086060523986816,0.5980884513296456,11.314735997446313,0.08575747907161713,0.9447848796844482,0.0,0.0,-1.6855205297470093,-1.6195353269577026,0.18534792959690094,0.19799068570137024,0.0003,59.420284271240234
500,200000,-0.002102281911362667,55.44358749389649,0.472046862244606,0.005482894368469715,0.03915000014938414,0.6771644949913025,0.19063442945480347,-0.21308007836341858,7.671615123748779,-34.16462326049805,40.5929069519043,19.157073974609375,13.50193977355957,0.6334785313050151,10.550636469951929,0.0938275158405304,0.9964916110038757,0.0,0.0,-1.6872801780700684,-1.6283823251724243,0.18502207100391388,0.19624677300453186,0.0003,29.491344451904297
510,204000,-0.0010274564109557537,63.5396293258667,0.48044787168502806,0.004360630642622709,0.01779999999795109,0.6616905927658081,0.19047103822231293,-0.5079261064529419,8.002324104309082,-37.045101165771484,66.05306243896484,18.552215576171875,13.758119583129883,0.6852423916875107,10.20685292855313,0.08961837738752365,0.5188891887664795,0.0,0.0,-1.6927604675292969,-1.6249008178710938,0.18401087820529938,0.19693119823932648,0.0003,30.119674682617188
520,208000,-0.0009337833785037209,79.43312423706055,0.4773794007301331,0.0034257497172802687,0.014775000051595271,0.5934243202209473,0.19087618589401245,-0.6185734272003174,9.000872611999512,-40.89109802246094,41.57910919189453,18.04368782043457,14.116072654724121,0.595153600173978,11.609794116656024,0.08598212152719498,0.7299837470054626,0.0,0.0,-1.6882959604263306,-1.624967098236084,0.18483421206474304,0.19691815972328186,0.0003,42.606563568115234
530,212000,-0.0014690057927555244,99.99760959625245,0.4702885887026787,0.004838676191866398,0.025875000027008356,0.5748363733291626,0.19178465008735657,0.06122369319200516,10.11227798461914,-88.42158508300781,42.37367248535156,17.40846061706543,15.508541107177734,0.5463007549395764,13.90922763187092,0.11318933218717575,0.6927199363708496,0.0,0.0,-1.6803475618362427,-1.623232126235962,0.18630920350551605,0.19726009666919708,0.0003,49.313385009765625
540,216000,-0.0032248748444100796,67.8384091949463,0.4640060332417488,0.0038769529201090336,0.032225000006146726,0.6678383350372314,0.19188570976257324,-0.568041205406189,8.45534896850586,-59.103187561035156,64.37983703613281,17.445022583007812,14.670899391174316,0.5556772465974006,13.359664229510715,0.09614551067352295,0.8652074337005615,0.0,0.0,-1.6787198781967163,-1.6237462759017944,0.18661269545555115,0.19715870916843414,0.0003,37.75087356567383
550,220000,-0.0015627939342011809,69.46068740844727,0.46927903801202775,0.004687489941716194,0.015024999962188304,0.6402032375335693,0.19078631699085236,-1.3257948160171509,8.438907623291016,-56.506675720214844,36.24580764770508,16.8486328125,14.068817138671875,0.6244492810037557,14.342504763796594,0.08363618701696396,0.7577036023139954,0.0,0.0,-1.6848076581954956,-1.6291686296463013,0.18548010289669037,0.19609253108501434,0.0003,27.52861213684082
560,224000,-0.002293987620613187,69.38249858856202,0.4820006275177002,0.003349148202687502,0.016875,0.6610352993011475,0.18957269191741943,0.9046086668968201,8.447171211242676,-46.26664733886719,44.03022766113281,17.042678833007812,14.50888442993164,0.5906587977746283,12.720017642381208,0.09150952100753784,0.660490095615387,0.0,0.0,-1.6866092681884766,-1.6399016380310059,0.1851462423801422,0.19399912655353546,0.0003,30.238574981689453
570,228000,-0.0013747324688900332,38.42935554504395,0.4909155279397964,0.0026903573889285326,0.016974999960511925,0.7754380702972412,0.18890424072742462,1.283261775970459,6.245598316192627,-40.98817443847656,33.45332336425781,19.163936614990234,13.179713249206543,0.5645353021043603,9.688482488597167,0.11664624512195587,0.6300356984138489,0.0,0.0,-1.6886943578720093,-1.6448169946670532,0.18476058542728424,0.1930478811264038,0.0003,19.745641708374023
580,232000,-0.002347631606723004,64.89083763122558,0.501506125330925,0.005920572206377983,0.02612500000279397,0.6809325814247131,0.18772950768470764,0.6067981123924255,8.242491722106934,-46.1662712097168,62.774261474609375,18.191648483276367,14.592082023620605,0.5664493626156539,12.54110491619846,0.07822563499212265,0.8642440438270569,0.0,0.0,-1.6934165954589844,-1.652508020401001,0.18389014899730682,0.19156885147094727,0.0003,21.57737922668457
590,236000,-0.0033157213304366453,34.21626434326172,0.5086921262741089,0.005098301917314529,0.04669999997597188,0.8230360746383667,0.18774250149726868,0.16134123504161835,5.911823272705078,-45.67752456665039,26.89144515991211,18.715553283691406,14.053324699401855,0.5067551351148487,7.649187438621877,0.0923566073179245,0.6174907088279724,0.0,0.0,-1.6992237567901611,-1.6468303203582764,0.18282538652420044,0.19265961647033691,0.0003,18.831350326538086
