policy,environment_type,evaluation_seed,raw_pnl,full_objective,spread_revenue,adverse_selection_loss,running_penalty,terminal_penalty,mean_abs_inventory,max_abs_inventory,mean_signed_inventory,terminal_signed_inventory,terminal_abs_inventory,fills,bid_action_mean,ask_action_mean,bid_action_std,ask_action_std,mean_quoted_spread,episode_length,reward_reconciliation_error,recurrent_state_reset_verified
analytical_belief_weighted,event,225013.0,65.16849477446931,64.87409782215622,63.73488181656054,9.286445859449563,0.23039695231310695,0.064,4.289115646258503,11.0,4.289115646258503,8.0,8.0,78.0,-0.36444394008131936,-0.4061206215608007,0.16477196419071027,0.15945761670642478,1.8872531421076362,294,4.263256414560601e-14,
analytical_belief_weighted,event,225014.0,55.82922017523481,55.65532919016462,58.424479457471506,16.75985426094808,0.15789098507019092,0.016,3.469798657718121,8.0,3.4295302013422817,4.0,4.0,64.0,-0.31785063856125023,-0.35269547708084975,0.15269234448606686,0.14555310672454283,2.0407871306303527,298,0.0,
analytical_belief_weighted,event,225015.0,105.99683894563242,105.93101575854251,65.2963855345767,20.323536316217506,0.0648231870899,0.001,1.943859649122807,6.0,1.5578947368421052,-1.0,1.0,67.0,-0.30836106212544406,-0.32234350270366624,0.13752779527679976,0.14104075475318517,2.1019461712861887,285,0.0,
analytical_belief_weighted,event,225016.0,8.971213670949965,8.87388928759616,57.26824848571491,12.09009054743902,0.08832438335380328,0.009000000000000001,2.7651006711409396,6.0,2.0268456375838926,3.0,3.0,67.0,-0.35089691058769373,-0.3684965213093078,0.15991472704443796,0.15658261951341051,1.9658037291361516,298,1.7763568394002505e-15,
analytical_belief_weighted,event,225017.0,110.04651760686477,109.81498314844461,40.31388613784765,15.469955304091247,0.16753445842016126,0.064,3.6795366795366795,8.0,-2.305019305019305,-8.0,8.0,40.0,-0.31817904187729723,-0.3041538736644859,0.13246208739783719,0.14135082269166774,2.114797127854706,259,2.842170943040401e-14,
analytical_belief_weighted,event,225018.0,89.02586481789457,88.96904406499304,63.47639601627935,18.24008662434219,0.05282075290152523,0.004,2.076923076923077,5.0,0.8461538461538461,2.0,2.0,66.0,-0.32791552283999836,-0.33221264567510034,0.14412968183025912,0.1506716058911032,2.0567792704665093,286,1.1368683772161603e-13,
analytical_belief_weighted,event,225019.0,34.840195474754225,34.799324099776086,50.45463507378095,15.30148329448791,0.03987137497814382,0.001,1.539855072463768,5.0,-0.9311594202898551,1.0,1.0,53.0,-0.33207078888787045,-0.3185380512960224,0.145476424848556,0.14485934223303043,2.071391979473676,276,2.1316282072803006e-14,
analytical_belief_weighted,event,225020.0,-11.910029076503974,-12.088441063691004,51.18053779947855,19.202077391261966,0.11441198718702925,0.064,3.193916349809886,8.0,-2.5779467680608366,-8.0,8.0,48.0,-0.289992376431957,-0.2684179594940899,0.10907623132930418,0.10927393964985897,2.2129219138073184,263,0.0,
analytical_belief_weighted,event,225021.0,65.95540843107565,65.89898821422321,62.63507930357399,12.528617245475473,0.05642021685244416,0.0,1.7689530685920578,5.0,1.7256317689530687,0.0,0.0,74.0,-0.37913307344818825,-0.39940648005187845,0.15827008462692155,0.16513151706717882,1.8750110771950659,277,2.842170943040401e-14,
analytical_belief_weighted,event,225022.0,35.26626329403018,35.2079921042999,59.91629464432346,19.15319200035635,0.042271189730283494,0.016,1.65625,5.0,0.890625,4.0,4.0,62.0,-0.3210854501121198,-0.32916298727244653,0.14682903007360046,0.14274448417099136,2.0719452182158116,256,2.842170943040401e-14,
