q,tau,belief,policy,bid_depth,ask_depth,bid_action,ask_action
-10.0,0.0,0.0,fixed_seed1,1.0249242904669782,1.8695056409610438,-0.33232155442237854,0.2178739756345749
-10.0,0.0,0.0,fixed_seed2,1.1237362220347344,2.066042411174976,-0.2679513394832611,0.3459062278270719
-10.0,0.0,0.0,fixed_seed3,1.5600298407070987,1.4138001653992387,0.016268527135252953,-0.07899158447980881
-10.0,0.0,0.0,fixed_seed4,1.4733055389438543,1.4667679931421609,-0.04022730141878128,-0.04448613151907921
-10.0,0.0,0.0,event_seed0,1.7244947420689865,1.0149242707913382,0.12340782582759857,-0.3388359844684602
-10.0,0.0,0.0,event_seed1,1.1529479699968164,1.5490468840209803,-0.24892158806324005,0.00911377090960741
-10.0,0.0,0.0,event_seed2,1.3998215457495091,1.5713960691297235,-0.08809784054756165,0.023672962561249733
-10.0,0.0,0.0,event_seed3,1.6077703498268967,1.671127068854366,0.04736868664622307,0.08864189684391022
-10.0,0.0,0.0,event_seed4,0.8310523790106898,1.138539625546008,-0.45861780643463135,-0.2583077847957611
-8.0,0.0,0.0,analytical,0.651630326652035,0.6837078519849604,-0.5755008173413115,-0.5546041789735097
-8.0,0.0,0.0,fixed_seed0,1.5536661582912088,1.4794881926534214,0.012122958898544312,-0.0361996628344059
-8.0,0.0,0.0,fixed_seed1,1.0752437574169,1.83496493032989,-0.2995413541793823,0.19537271559238434
-8.0,0.0,0.0,fixed_seed2,1.161742340146719,2.0149567524417558,-0.24319256842136394,0.3126268982887268
-8.0,0.0,0.0,fixed_seed3,1.5370528622954087,1.4576293959621973,0.0013003647327423096,-0.050439395010471344
-8.0,0.0,0.0,fixed_seed4,1.4841100359741235,1.4810013447971075,-0.0331888012588023,-0.035213932394981384
-8.0,0.0,0.0,event_seed0,1.7036430417560497,1.063794204265394,0.10982415825128555,-0.3070000708103179
-8.0,0.0,0.0,event_seed1,1.1918676350231003,1.5471958466991536,-0.22356769442558289,0.007907927967607975
-8.0,0.0,0.0,event_seed2,1.415578731765804,1.567135013707577,-0.07783295214176178,0.02089713327586651
-8.0,0.0,0.0,event_seed3,1.600345699602589,1.6539030222104303,0.04253195971250534,0.07742143422365189
-8.0,0.0,0.0,event_seed4,0.9035633639956353,1.170065000034048,-0.4113811254501343,-0.23777084052562714
-6.0,0.0,0.0,analytical,0.655640017289354,0.679698161367173,-0.5728887375644214,-0.5572162587376761
-6.0,0.0,0.0,fixed_seed0,1.5560237917797026,1.4896096253399214,0.01365881972014904,-0.029606139287352673
-6.0,0.0,0.0,fixed_seed1,1.1444091267280703,1.7873958485012897,-0.2544841468334198,0.16438423097133636
-6.0,0.0,0.0,fixed_seed2,1.213376566211772,1.945368211767109,-0.20955587923526764,0.2672940194606781
-6.0,0.0,0.0,fixed_seed3,1.5064995495997326,1.5161477537534291,-0.018603337928652763,-0.012318095192313194
-6.0,0.0,0.0,fixed_seed4,1.4986741417978828,1.5001917944262049,-0.02370113506913185,-0.022712472826242447
-6.0,0.0,0.0,event_seed0,1.6750905261558815,1.130104150460589,0.09122385829687119,-0.26380300521850586
-6.0,0.0,0.0,event_seed1,1.2448061896010274,1.5446718982870156,-0.1890813112258911,0.006263722665607929
-6.0,0.0,0.0,event_seed2,1.4368069630957239,1.5615281961493932,-0.06400399655103683,0.017244618386030197
-6.0,0.0,0.0,event_seed3,1.5902686798943921,1.6305848904795968,0.03596736863255501,0.06223103031516075
